N,seed,qaoa_seed,pipeline_imbalance,status,solver_status,solve_seconds,reported_objective_units,verified_objective_units,witness_imbalance,exact_certificate_at_scale,mip_gap,pipeline_proven_nonoptimal,pipeline_certified_optimal
30,0,10000,0.01914376538385376,time_limit_with_witness,1,0.5036902900010318,15074.0,15074,1.5075216946769388e-05,False,1.0,True,False
30,1,10001,0.06889603186167736,time_limit_with_witness,1,0.5030816160015092,16292.0,16292,1.6291930563738788e-05,False,1.0,True,False
30,2,10002,0.028842522789876313,time_limit_with_witness,1,0.5019449999999779,28320.0,28320,2.8320976445783685e-05,False,0.9999646892655367,True,False
30,3,10003,0.0006027111611439651,time_limit_with_witness,1,0.5081713319996197,49085.0,49085,4.908554851468239e-05,False,1.0,True,False
30,4,10004,0.03423783938680458,time_limit_with_witness,1,0.5034007579997706,11040.0,11040,1.103842694760715e-05,False,1.0,True,False
30,5,10005,0.026402821627178774,time_limit_with_witness,1,0.5022288119998848,74029.0,74029,7.402824724600521e-05,False,1.0,True,False
30,6,10006,0.0387672156037997,time_limit_with_witness,1,0.5016493589992024,26348.0,26348,2.635132224959591e-05,False,1.0,True,False
30,7,10007,0.05724345348253923,time_limit_with_witness,1,0.501568079000208,5034.0,5034,5.0345324620337806e-06,False,1.0,True,False
30,8,10008,0.07622814633684794,time_limit_with_witness,1,0.5063915130012901,199914.0,199914,0.00019991298193389184,False,1.0,True,False
30,9,10009,0.013881544654056555,time_limit_with_witness,1,0.5055750690007699,127083.0,127083,0.00012708327623300875,False,1.0,True,False
30,10,10010,0.01982013260546367,time_limit_with_witness,1,0.5046463239996228,32520.0,32520,3.252085666716198e-05,False,1.0,True,False
30,11,10011,0.039235283617130357,time_limit_with_witness,1,0.5026127239998459,40993.0,40993,4.0992831737085567e-05,False,1.0,True,False
30,12,10012,0.056213308302359266,time_limit_with_witness,1,0.5039673009996477,183249.0,183249,0.000183252458951344,False,1.0,True,False
30,13,10013,0.04117223568408157,time_limit_with_witness,1,0.5046515340000042,121079.0,121079,0.00012107782735526484,False,1.0,True,False
