N,seed,qaoa_seed,data_source,source_run_id,status,num_subqubos,tempo_total_ms,tempo_qaoa_ms,tempo_overhead_ms,baseline_method,baseline_certified,baseline_energy,pipeline_energy,is_optimal,gap_relativo,load_imbalance,annealing_restarts_stable,annealing_restart_energy_std
10,0,10000,reused,sweep_20260705_142459_e5a8c292,success,3,6069.651809998504,6063.163082999381,6.488726999123173,bruteforce,True,-65.15308304901194,-65.1453343446866,False,0.00011893073915639577,0.12455437497632715,,
10,1,10001,reused,sweep_20260705_142459_e5a8c292,success,3,6151.42650099915,6145.464668000386,5.961832998764294,bruteforce,True,-63.02695672181468,-63.026631619977486,False,5.15813953426585e-06,0.02616870260423143,,
10,2,10002,reused,sweep_20260705_142459_e5a8c292,success,3,6245.571254999959,6239.281469000161,6.289785999797459,bruteforce,True,-57.881862088926326,-57.88175257198873,False,1.892076958933804e-06,0.014912754299948094,,
10,3,10003,reused,sweep_20260705_142459_e5a8c292,success,3,6166.561762998754,6160.2924270000585,6.269335998695169,bruteforce,True,-56.919904697690875,-56.91939259342841,False,8.99692761578117e-06,0.03220160169498154,,
10,4,10004,reused,sweep_20260705_142459_e5a8c292,success,3,5888.058690996331,5881.9163669986665,6.142323997664789,bruteforce,True,-67.33021701541715,-67.32848895407203,False,2.5665465250519987e-05,0.05881172210938157,,
10,5,10005,reused,sweep_20260705_142459_e5a8c292,success,3,5997.524255000826,5991.071630000079,6.452625000747503,bruteforce,True,-59.47453237084508,-59.472452743462114,False,3.4966687421796403e-05,0.06450006033669187,,
10,6,10006,reused,sweep_20260705_142459_e5a8c292,success,3,5947.147990998019,5940.990445998068,6.157544999950915,bruteforce,True,-62.76325917142821,-62.75327074424021,False,0.00015914449504154625,0.14135441682428107,,
10,7,10007,reused,sweep_20260705_142459_e5a8c292,success,3,6057.535650002137,6051.5867060003075,5.948944001829659,bruteforce,True,-66.75289455888883,-66.73224521223284,False,0.00030934009367593194,0.20326207519045525,,
10,8,10008,reused,sweep_20260705_142459_e5a8c292,success,3,5862.204205998751,5855.777160000798,6.4270459979525185,bruteforce,True,-62.898323821665976,-62.88725320128487,False,0.0001760081939940577,0.14879959196421888,,
10,9,10009,reused,sweep_20260705_142459_e5a8c292,success,3,6109.514271996886,6103.105375000268,6.408896996617841,bruteforce,True,-70.55461541158232,-70.54150894144304,False,0.00018576346937504215,0.16278682424346425,,
10,10,10010,reused,sweep_20260705_142459_e5a8c292,success,3,6020.803940000405,6014.246732999709,6.557207000696508,bruteforce,True,-66.26412277971937,-66.26399748052548,False,1.890905495171973e-06,0.015854259706392426,,
10,11,10011,reused,sweep_20260705_142459_e5a8c292,success,3,6280.693517000145,6274.359330998777,6.334186001367925,bruteforce,True,-58.42378334020227,-58.423764549756115,False,3.2162323425847377e-07,0.00636976367359976,,
10,12,10012,reused,sweep_20260705_142459_e5a8c292,success,3,6027.705648002666,6021.5484330001345,6.157215002531302,bruteforce,True,-60.98203665596159,-60.98016720301797,False,3.065579711891134e-05,0.06116756091338438,,
10,13,10013,reused,sweep_20260705_142459_e5a8c292,success,3,6062.13009899966,6056.034485000055,6.095613999605121,bruteforce,True,-70.02042082430373,-69.9965453994259,False,0.00034097802607810373,0.22096410588042792,,
10,14,10014,reused,sweep_20260705_142459_e5a8c292,success,3,5955.556755999169,5949.613861999751,5.94289399941772,bruteforce,True,-70.88339508508406,-70.8797251101841,False,5.177481828513686e-05,0.08575956377970817,,
10,15,10015,reused,sweep_20260705_142459_e5a8c292,success,3,6038.129600998218,6031.643344998884,6.486255999334389,bruteforce,True,-63.06996901186012,-63.06653878940893,False,5.4387571532517154e-05,0.08285181159722299,,
10,16,10016,reused,sweep_20260705_142459_e5a8c292,success,3,5966.114500000003,5959.348152001439,6.766347998564015,bruteforce,True,-60.85018221805859,-60.850080738114116,False,1.6677015709240061e-06,0.01984683387576336,,
10,17,10017,reused,sweep_20260705_142459_e5a8c292,success,3,5886.761855999794,5880.7332220003445,6.0286339994490845,bruteforce,True,-59.347716145516806,-59.34366835479657,False,6.820465863102369e-05,0.08997627912562933,,
10,18,10018,reused,sweep_20260705_142459_e5a8c292,success,3,5960.525995002172,5954.422691000218,6.103304001953802,bruteforce,True,-61.6785681743922,-61.678414471487756,False,2.491998582178551e-06,0.017535996386161656,,
10,19,10019,reused,sweep_20260705_142459_e5a8c292,success,3,6120.497795000119,6113.903309000307,6.594485999812605,bruteforce,True,-63.81574763674902,-63.804563235941686,False,0.00017526082858107831,0.14988301140468385,,
