experiment,group,runs,success_rate,feasibility_rate,optimality_rate,mean_energy,mean_brute_force_energy,mean_optimality_gap,std_optimality_gap,mean_solve_time_ms,std_solve_time_ms,mean_convergence_iterations,mean_max_subqubo_convergence_iterations,mean_num_sub_qubos,mean_load_imbalance,mean_max_probability
D2,"qubit_max=6, pipeline=iterative",5,1.0,1.0,1.0,-40.9248,-40.924800000000005,0.0,0.0,4546.807960599926,143.4856416667501,,,3.0,1.1102230246251565e-16,
D2,"qubit_max=8, pipeline=iterative",5,1.0,1.0,1.0,-40.9248,-40.924800000000005,0.0,0.0,4777.013519600132,248.0128840230374,,,2.0,1.1102230246251565e-16,
D3,"qubit_max=12, pipeline=default",5,1.0,1.0,1.0,-31.125,-31.125,0.0,0.0,3581.7454947999067,97.56232724608617,15.0,,,,0.015636453043179722
D3,"qubit_max=6, pipeline=iterative",5,1.0,1.0,1.0,-31.125,-31.125,0.0,0.0,3321.3134172002356,61.54957430745687,,15.0,2.0,2.220446049250313e-16,
D4,sorting_strategy=COUPLING_DESCENDING,5,1.0,1.0,1.0,-40.9248,-40.924800000000005,0.0,0.0,4486.753907800085,51.238298683094804,,9.0,3.0,1.1102230246251565e-16,
D4,sorting_strategy=WEIGHT_DESCENDING,5,1.0,1.0,1.0,-40.9248,-40.924800000000005,0.0,0.0,4494.954546800091,86.03447807363628,,9.0,3.0,1.1102230246251565e-16,
D6,top_k=1,5,1.0,1.0,0.0,-40.9006,-40.924800000000005,0.0005913284854173253,0.0,4514.796125999874,76.29336002560167,,9.0,3.0,0.2200000000000001,
D6,top_k=10,5,1.0,1.0,1.0,-40.9248,-40.924800000000005,0.0,0.0,4126.381878800112,35.459048474444735,,9.0,3.0,1.1102230246251565e-16,
D6,top_k=3,5,1.0,1.0,1.0,-40.924800000000005,-40.924800000000005,0.0,0.0,4541.583142000218,96.9179677869618,,9.0,3.0,1.1102230246251565e-16,
D6,top_k=5,5,1.0,1.0,1.0,-40.9248,-40.924800000000005,0.0,0.0,4183.642204399803,38.26911545645065,,9.0,3.0,1.1102230246251565e-16,
T1,scenario_id=T1.1,1,1.0,1.0,1.0,-10.42,-10.42,0.0,0.0,609.683233999931,0.0,,,,,0.2622052758545041
T1,scenario_id=T1.2,1,1.0,1.0,1.0,-15.500000000000002,-15.500000000000002,0.0,0.0,443.20429700019304,0.0,,,,,0.13426479080408618
T1,scenario_id=T1.3,1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,615.9804949998033,0.0,,,,,0.06875160686379561
T5,scenario_id=T5.1,1,1.0,1.0,,-65.00098855555555,,,,2554.658132999748,0.0,,1.0,4.0,0.0032500000000000064,
