N,num_variables,num_subqubos,instance_seed,qaoa_seed,source_run_id,status,baseline_method,baseline_certified,target_load,candidate_load_core_0,candidate_load_core_1,candidate_load_imbalance,candidate_normalized_load_imbalance,candidate_balance_objective,baseline_load_core_0,baseline_load_core_1,baseline_load_imbalance,baseline_normalized_load_imbalance,baseline_balance_objective,objective_regret,excess_normalized_load_imbalance,offset_free_tolerance,baseline_match_offset_free,certified_optimal_offset_free,legacy_pipeline_energy,legacy_baseline_energy,legacy_relative_gap,legacy_is_optimal,tempo_total_ms,tempo_qaoa_ms,tempo_overhead_ms,result_path
10,20,3,0,10000,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.752552564516206,2.6902753770280428,2.8148297520043695,0.12455437497632671,0.045250498240064906,0.007756896162871701,2.7545764021508146,2.7505287268815977,0.004047675269216899,0.001470516974460877,8.19183754251505e-06,0.007748704325329186,0.04377998126560403,1.0000081918375426e-09,False,False,-65.1453343446866,-65.15308304901194,0.00011893073915639577,False,6069.651809998504,6063.163082999381,6.488726999123173,src/experiments/results/phase5_e5_scalability_n_result/20260705_142459_sweep_20260705_142459_e5a8c292_repeat_001_of_020_result.json
10,20,3,1,10001,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.552153406485931,2.5390690551838153,2.5652377577880467,0.02616870260423143,0.010253577444728611,0.0003424004979943544,2.549212432088792,2.5550943808830695,0.005881948794277392,0.00230470032848702,1.729866080925063e-05,0.00032510183718510374,0.007948877116241591,1.0000172986608093e-09,False,False,-63.026631619977486,-63.02695672181468,5.15813953426585e-06,False,6151.42650099915,6145.464668000386,5.961832998764294,src/experiments/results/phase5_e5_scalability_n_result/20260705_142506_sweep_20260705_142459_e5a8c292_repeat_002_of_020_result.json
10,20,3,2,10002,sweep_20260705_142459_e5a8c292,success,bruteforce,True,1.985178048325784,1.9777216711758099,1.992634425475758,0.014912754299948094,0.007512048761835185,0.00011119512040531019,1.986094067653041,1.9842620289985269,0.0018320386545140899,0.0009228586101176942,1.6781828158168984e-06,0.0001095169375894933,0.00658919015171749,1.0000016781828158e-09,False,False,-57.88175257198873,-57.881862088926326,1.892076958933804e-06,False,6245.571254999959,6239.281469000161,6.289785999797459,src/experiments/results/phase5_e5_scalability_n_result/20260705_142513_sweep_20260705_142459_e5a8c292_repeat_003_of_020_result.json
10,20,3,3,10003,sweep_20260705_142459_e5a8c292,success,bruteforce,True,1.860095570797946,1.8439947699504553,1.8761963716454368,0.03220160169498154,0.017311799565851157,0.000518471575861119,1.8618798512405568,1.8583112903553356,0.0035685608852211725,0.0019184825453298225,6.36731339576526e-06,0.0005121042624653538,0.015393317020521335,1.0000063673133959e-09,False,False,-56.91939259342841,-56.919904697690875,8.99692761578117e-06,False,6166.561762998754,6160.2924270000585,6.269335998695169,src/experiments/results/phase5_e5_scalability_n_result/20260705_142519_sweep_20260705_142459_e5a8c292_repeat_004_of_020_result.json
10,20,3,4,10004,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.943655751221664,2.973061612276355,2.9142498901669733,0.05881172210938157,0.019979143989569355,0.0017294093287355606,2.9428347811801596,2.944476721263168,0.0016419400830085529,0.0005577894365966949,1.3479836180950669e-06,0.0017280613451174656,0.01942135455297266,1.000001347983618e-09,False,False,-67.32848895407203,-67.33021701541715,2.5665465250519987e-05,False,5888.058690996331,5881.9163669986665,6.142323997664789,src/experiments/results/phase5_e5_scalability_n_result/20260705_142525_sweep_20260705_142459_e5a8c292_repeat_005_of_020_result.json
10,20,3,5,10005,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.1765262314470077,2.2087762616153537,2.144276201278662,0.06450006033669187,0.02963440523012243,0.0020801288917184457,2.1760254776428316,2.177026985251184,0.00100150760835227,0.00046014038052114047,5.015087447937419e-07,0.002079627382973652,0.02917426484960129,1.0000005015087448e-09,False,False,-59.472452743462114,-59.47453237084508,3.4966687421796403e-05,False,5997.524255000826,5991.071630000079,6.452625000747503,src/experiments/results/phase5_e5_scalability_n_result/20260705_142531_sweep_20260705_142459_e5a8c292_repeat_006_of_020_result.json
10,20,3,6,10006,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.5261889557016595,2.455511747289519,2.5968661641138,0.14135441682428063,0.055955599245749554,0.009990535577866234,2.527215695655714,2.525162215747605,0.0020534799081088906,0.0008128766074581021,2.1083898665034487e-06,0.009988427187999731,0.05514272263829145,1.0000021083898666e-09,False,False,-62.75327074424021,-62.76325917142821,0.00015914449504154625,False,5947.147990998019,5940.990445998068,6.157544999950915,src/experiments/results/phase5_e5_scalability_n_result/20260705_142537_sweep_20260705_142459_e5a8c292_repeat_007_of_020_result.json
10,20,3,7,10007,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.8942099913308117,2.7925789537355845,2.995841028926039,0.20326207519045436,0.07023058997076805,0.02065773560536496,2.896258033001794,2.892161949659829,0.0040960833419649845,0.0014152681920918699,8.388949372161518e-06,0.020649346655992797,0.06881532177867618,1.0000083889493723e-09,False,False,-66.73224521223284,-66.75289455888883,0.00030934009367593194,False,6057.535650002137,6051.5867060003075,5.948944001829659,src/experiments/results/phase5_e5_scalability_n_result/20260705_142543_sweep_20260705_142459_e5a8c292_repeat_008_of_020_result.json
10,20,3,8,10008,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.5395200196660426,2.613919815648152,2.4651202236839334,0.14879959196421844,0.058593588871879106,0.01107065928435895,2.5393805505455838,2.5396594887865014,0.00027893824091762554,0.00010983896120429366,3.890327112310965e-08,0.011070620381087826,0.058483749910674815,1.0000000389032712e-09,False,False,-62.88725320128487,-62.898323821665976,0.0001760081939940577,False,5862.204205998751,5855.777160000798,6.4270459979525185,src/experiments/results/phase5_e5_scalability_n_result/20260705_142549_sweep_20260705_142459_e5a8c292_repeat_009_of_020_result.json
10,20,3,9,10009,sweep_20260705_142459_e5a8c292,success,bruteforce,True,3.205835204476103,3.2872286165978353,3.124441792354371,0.16278682424346425,0.050778288296346424,0.013249775073636259,3.1973704264411955,3.214299982511011,0.016929556069815277,0.005280856622379596,0.00014330493436050964,0.01310647013927575,0.04549743167396683,1.0001433049343605e-09,False,False,-70.54150894144304,-70.55461541158232,0.00018576346937504215,False,6109.514271996886,6103.105375000268,6.408896996617841,src/experiments/results/phase5_e5_scalability_n_result/20260705_142555_sweep_20260705_142459_e5a8c292_repeat_010_of_020_result.json
10,20,3,10,10010,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.8516769767367487,2.859604106589945,2.8437498468835525,0.015854259706392426,0.005559626786528566,0.00012567877541886922,2.851241326923883,2.8521126265496144,0.0008712996257314032,0.000305539383611553,3.7958151889984166e-07,0.00012529919389996937,0.005254087402917013,1.0000003795815189e-09,False,False,-66.26399748052548,-66.26412277971937,1.890905495171973e-06,False,6020.803940000405,6014.246732999709,6.557207000696508,src/experiments/results/phase5_e5_scalability_n_result/20260705_142601_sweep_20260705_142459_e5a8c292_repeat_011_of_020_result.json
10,20,3,11,10011,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.0522895551920475,2.049104673355248,2.055474437028847,0.006369763673599316,0.003103735365940237,2.0286944628752724e-05,2.0514245411825494,2.0531545692015447,0.0017300280189953554,0.0008429746253975669,1.4964984732544968e-06,1.879044615549823e-05,0.0022607607405426703,1.0000014964984732e-09,False,False,-58.423764549756115,-58.42378334020227,3.2162323425847377e-07,False,6280.693517000145,6274.359330998777,6.334186001367925,src/experiments/results/phase5_e5_scalability_n_result/20260705_142607_sweep_20260705_142459_e5a8c292_repeat_012_of_020_result.json
10,20,3,12,10012,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.3432923353982122,2.3738761158549044,2.31270855494152,0.06116756091338438,0.026103256511949346,0.001870735254046294,2.344093057079052,2.3424916137173724,0.0016014433616797774,0.0006834159517735258,1.282310420334113e-06,0.0018694529436259599,0.02541984056017582,1.0000012823104205e-09,False,False,-60.98016720301797,-60.98203665596159,3.065579711891134e-05,False,6027.705648002666,6021.5484330001345,6.157215002531302,src/experiments/results/phase5_e5_scalability_n_result/20260705_142613_sweep_20260705_142459_e5a8c292_repeat_013_of_020_result.json
10,20,3,13,10013,sweep_20260705_142459_e5a8c292,success,bruteforce,True,3.1639340991453717,3.053452046205158,3.274416152085586,0.22096410588042792,0.06983840337891797,0.024412568043768477,3.1803222528843547,3.1475459454063888,0.032776307477965894,0.010359352139104064,0.0005371431659450815,0.023875424877823397,0.05947905123981391,1.000537143165945e-09,False,False,-69.9965453994259,-70.02042082430373,0.00034097802607810373,False,6062.13009899966,6056.034485000055,6.095613999605121,src/experiments/results/phase5_e5_scalability_n_result/20260705_142619_sweep_20260705_142459_e5a8c292_repeat_014_of_020_result.json
10,20,3,14,10014,sweep_20260705_142459_e5a8c292,success,bruteforce,True,3.2313621324121145,3.2742419143019683,3.1884823505222606,0.08575956377970773,0.026539756383073907,0.0036773513898428786,3.229441652019263,3.233282612804965,0.0038409607857019523,0.0011886506768075515,7.3764898786500795e-06,0.0036699748999642285,0.025351105706266357,1.0000073764898788e-09,False,False,-70.8797251101841,-70.88339508508406,5.177481828513686e-05,False,5955.556755999169,5949.613861999751,5.94289399941772,src/experiments/results/phase5_e5_scalability_n_result/20260705_142625_sweep_20260705_142459_e5a8c292_repeat_015_of_020_result.json
10,20,3,15,10015,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.5563617702460855,2.597787676044697,2.5149358644474744,0.08285181159722255,0.032410049532718095,0.0034322113424708305,2.5553645512921226,2.5573589892000483,0.00199443790792575,0.0007801860953873355,1.9888912842856215e-06,0.003430222451186545,0.03162986343733076,1.0000019888912844e-09,False,False,-63.06653878940893,-63.06996901186012,5.4387571532517154e-05,False,6038.129600998218,6031.643344998884,6.486255999334389,src/experiments/results/phase5_e5_scalability_n_result/20260705_142631_sweep_20260705_142459_e5a8c292_repeat_016_of_020_result.json
10,20,3,16,10016,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.3291927449785645,2.319269328040683,2.3391161619164462,0.01984683387576336,0.008520906618205188,0.00019694840744607402,2.3222837485618104,2.336101741395319,0.013817992833508708,0.005932524417869022,9.5468462973449e-05,0.00010147994447262502,0.0025883822003361662,1.0000954684629735e-09,False,False,-60.850080738114116,-60.85018221805859,1.6677015709240061e-06,False,5966.114500000003,5959.348152001439,6.766347998564015,src/experiments/results/phase5_e5_scalability_n_result/20260705_142637_sweep_20260705_142459_e5a8c292_repeat_017_of_020_result.json
10,20,3,17,10017,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.161910754425263,2.2068988939880776,2.1169226148624487,0.08997627912562889,0.04161886837440188,0.0040478654026465406,2.162103993155452,2.161717515695074,0.0003864774603781207,0.00017876661170542374,7.468241369016093e-08,0.004047790720232851,0.041440101762696455,1.0000000746824138e-09,False,False,-59.34366835479657,-59.347716145516806,6.820465863102369e-05,False,5886.761855999794,5880.7332220003445,6.0286339994490845,src/experiments/results/phase5_e5_scalability_n_result/20260705_142643_sweep_20260705_142459_e5a8c292_repeat_018_of_020_result.json
10,20,3,18,10018,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.4164610722161846,2.4252290704092654,2.407693074023104,0.017535996386161212,0.0072568917363434295,0.00015375558462772955,2.4166233685455394,2.4162987758868297,0.0003245926587096548,0.0001343256311644054,5.2680197044101226e-08,0.00015370290443068545,0.007122566105179024,1.0000000526801972e-09,False,False,-61.678414471487756,-61.6785681743922,2.491998582178551e-06,False,5960.525995002172,5954.422691000218,6.103304001953802,src/experiments/results/phase5_e5_scalability_n_result/20260705_142649_sweep_20260705_142459_e5a8c292_repeat_019_of_020_result.json
10,20,3,19,10019,sweep_20260705_142459_e5a8c292,success,bruteforce,True,2.628288006906354,2.5533465012040124,2.7032295126086963,0.14988301140468385,0.05702685969377639,0.011232458553868296,2.633189932370753,2.6233860814419554,0.00980385092879743,0.0037301280921405284,4.805774651704112e-05,0.011184400807351254,0.05329673160163586,1.0000480577465171e-09,False,False,-63.804563235941686,-63.81574763674902,0.00017526082858107831,False,6120.497795000119,6113.903309000307,6.594485999812605,src/experiments/results/phase5_e5_scalability_n_result/20260705_142655_sweep_20260705_142459_e5a8c292_repeat_020_of_020_result.json
15,30,4,0,10000,sweep_20260705_142459_e5a8c292,success,bruteforce,True,3.972171240823535,3.920852791094534,4.023489690552536,0.1026368994580018,0.025838991633382477,0.005267166565175986,3.972137293766006,3.9722051878810625,6.789411505625509e-05,1.7092444142005033e-05,2.304805429636002e-09,0.005267164260370556,0.025821899189240473,1.0000000023048055e-09,False,False,-106.55102156628598,-106.55628873054636,4.943081561045557e-05,False,8970.888709000974,8788.617000001068,182.27170899990597,src/experiments/results/phase5_e5_scalability_n_result/20260705_142701_sweep_20260705_142459_e5a8c292_repeat_001_of_020_result.json
15,30,4,1,10001,sweep_20260705_142459_e5a8c292,success,bruteforce,True,3.908659242042544,3.868333353154463,3.9489851309306254,0.08065177777616261,0.020634128682452374,0.003252354629227759,3.908627259464368,3.9086912246207213,6.396515635342936e-05,1.636498665972303e-05,2.0457706136593326e-09,0.0032523525834571455,0.02061776369579265,1.0000000020457707e-09,False,False,-105.55198178617997,-105.5552341387634,3.081185513884748e-05,False,9101.770622998629,8916.393089998564,185.37753300006443,src/experiments/results/phase5_e5_scalability_n_result/20260705_142710_sweep_20260705_142459_e5a8c292_repeat_002_of_020_result.json
15,30,4,2,10002,sweep_20260705_142459_e5a8c292,success,bruteforce,True,3.1036983926933837,3.0931635716064916,3.1142332137802757,0.021069642173784153,0.006788559810897076,0.00022196491066565191,3.103452012439746,3.1039447729470204,0.0004927605072744257,0.00015876559025015605,1.2140645876467465e-07,0.00022184350420688723,0.00662979422064692,1.0000001214064589e-09,False,False,-94.26566546070431,-94.26588730420852,2.353380534050593e-06,False,8879.837030999624,8701.370074999431,178.46695600019302,src/experiments/results/phase5_e5_scalability_n_result/20260705_142719_sweep_20260705_142459_e5a8c292_repeat_003_of_020_result.json
15,30,4,3,10003,sweep_20260705_142459_e5a8c292,success,bruteforce,True,3.1917119469286983,3.163992778572377,3.219431115285019,0.05543833671264187,0.01736946743141678,0.0015367045887321276,3.191742869974876,3.1916810238825204,6.184609235582172e-05,1.9377090847855058e-05,1.912469569842415e-09,0.0015367026762625577,0.017350090340568926,1.0000000019124696e-09,False,False,-95.37251359974603,-95.3740503024223,1.6112377228431568e-05,False,8991.432943999826,8814.619005001077,176.8139389987482,src/experiments/results/phase5_e5_scalability_n_result/20260705_142728_sweep_20260705_142459_e5a8c292_repeat_004_of_020_result.json
