source_file,scenario_id,experiment,repeat_number,status,pipeline,num_entities,num_cores,num_variables,layers,steps,learning_rate,mixer_type,init_strategy,init_gamma,init_beta,random_seed,top_k,penalty,penalty_multiplier,weight_distribution,qubit_max,sorting_strategy,energy,brute_force_energy,feasible,optimal,optimality_gap,solve_time_ms,max_probability,convergence_iterations_to_final_tol,max_subqubo_convergence_iterations_to_final_tol,num_sub_qubos,all_sub_qubos_feasible,load_imbalance,recorded_sa_energy,recorded_sa_gap
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.4,B1,5,success,default,4,2,8,4,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,3080.6115679997674,0.08966307829419887,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.5,B1,1,success,default,4,2,8,5,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,3767.294154999945,0.10998112222687682,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.5,B1,2,success,default,4,2,8,5,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,3786.189827999806,0.10998112222687682,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.5,B1,3,success,default,4,2,8,5,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,3745.4766840000957,0.10998112222687682,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.5,B1,4,success,default,4,2,8,5,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,3778.861913000128,0.10998112222687682,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.5,B1,5,success,default,4,2,8,5,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,3719.638049000423,0.10998112222687682,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.6,B1,1,success,default,4,2,8,6,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,4529.940902999897,0.09372489570877728,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.6,B1,2,success,default,4,2,8,6,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,4448.90816599991,0.09372489570877728,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.6,B1,3,success,default,4,2,8,6,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,4333.672707999995,0.09372489570877728,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.6,B1,4,success,default,4,2,8,6,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,4394.149997000113,0.09372489570877728,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.6,B1,5,success,default,4,2,8,6,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,4251.127847000134,0.09372489570877728,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.7,B1,1,success,default,4,2,8,7,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,5078.167944999677,0.10226474675123358,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.7,B1,2,success,default,4,2,8,7,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,5152.383708999878,0.10226474675123358,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.7,B1,3,success,default,4,2,8,7,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,5024.135123999713,0.10226474675123358,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.7,B1,4,success,default,4,2,8,7,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,5265.827011000056,0.10226474675123358,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.7,B1,5,success,default,4,2,8,7,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,5033.938594000119,0.10226474675123358,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.1,C1,1,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.0875,,,8,COUPLING_DESCENDING,-0.85,-0.85,True,True,0.0,2470.648584999708,0.05522753914626644,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.1,C1,2,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.0875,,,8,COUPLING_DESCENDING,-0.85,-0.85,True,True,0.0,2176.6466929998387,0.05522753914626644,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.1,C1,3,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.0875,,,8,COUPLING_DESCENDING,-0.85,-0.85,True,True,0.0,2237.130392999916,0.05522753914626644,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.1,C1,4,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.0875,,,8,COUPLING_DESCENDING,-0.85,-0.85,True,True,0.0,2220.3261569998176,0.05522753914626644,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.1,C1,5,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.0875,,,8,COUPLING_DESCENDING,-0.85,-0.85,True,True,0.0,2254.471229000046,0.05522753914626644,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.2,C1,1,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.175,,,8,COUPLING_DESCENDING,-1.2,-1.2,True,True,0.0,2296.956010000031,0.08710778525470467,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.2,C1,2,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.175,,,8,COUPLING_DESCENDING,-1.2,-1.2,True,True,0.0,2280.2896950001923,0.08710778525470467,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.2,C1,3,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.175,,,8,COUPLING_DESCENDING,-1.2,-1.2,True,True,0.0,2165.1524450003308,0.08710778525470467,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.2,C1,4,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.175,,,8,COUPLING_DESCENDING,-1.2,-1.2,True,True,0.0,2332.961738999984,0.08710778525470467,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.2,C1,5,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.175,,,8,COUPLING_DESCENDING,-1.2,-1.2,True,True,0.0,2187.97024999958,0.08710778525470467,,,,,,,
