num_processes,num_variables,runs,workload_ms,clustering_ms,decomposition_ms,qubo_build_ms,qaoa_ms,reconstruction_ms,operational_validation_ms,experimental_baselines_ms,operational_total_ms,qaoa_share
2,4,5,0.004676000025938265,0.0,0.009189999764203094,0.06502420073957182,865.8930183999473,0.025408199871890247,0.07470558957720641,119.50077201036038,866.0720223899261,0.9997933151223557
3,6,5,0.0055400003475369886,0.0,0.011939999967580661,0.0862619996041758,1304.39701159994,0.028466000003390945,0.08427654211118352,207.48908045861754,1304.6134961419739,0.9998340623160238
4,8,5,0.005601999873761088,0.0,0.012873999730800278,0.12426999965100549,2405.501974800791,0.03579020012693945,0.08521969903085846,203.98926390116685,2405.765730699204,0.9998903650945528
5,10,5,0.0065640004322631285,0.0,0.015112000255612656,0.1392461999785155,2770.542624399968,0.03714599988597911,0.09369120743940584,339.58712339263,2770.83438380796,0.9998947034114718
6,12,5,0.006443999882321805,0.0,0.01619199938431848,0.1504102001490537,3336.108905999572,0.040798200279823504,0.10115556251548696,388.7304256371863,3336.423905961783,0.9999055875478988
8,16,5,0.008574000094085932,0.0,0.023008000061963685,0.22752659933757968,4145.836368999153,0.04981820056855213,0.11684715500450693,2098.6701568446733,4146.26214295422,0.9998973113757917
10,20,5,0.010019999172072858,0.0,0.028507999741123058,0.3015507994859945,5579.889484800515,0.05754240082751494,0.12378304381854832,32026.940845155692,5580.41088904356,0.9999065652595459
