experiment,structure,instance,difficulty,io_alpha,layers,top_k,runs,success_rate,feasibility_rate,optimality_rate,recorded_optimality_rate,sa_optimality_rate,qaoa_sa_agreement_rate,mean_energy,mean_optimality_gap,max_optimality_gap,mean_absolute_gap,mean_load_imbalance,mean_solve_time_ms,std_solve_time_ms,mean_convergence_iterations,mean_max_subqubo_convergence_iterations
E1b,near_equal,near010,0.1,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.51,0.0,0.0,0.0,0.010000000000000009,1565.3654125995672,33.32876944551943,,7.0
E1b,near_equal,near010,0.1,0.5,1,3,5,1.0,1.0,0.8,0.8,1.0,0.8,-20.509520000000002,2.3403217942480692e-05,0.00011701608971240346,0.0004800000000003024,0.02200000000000001,1559.4186866004748,26.482560651282633,,7.0
E1b,near_equal,near010,0.1,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.51,0.0,0.0,0.0,0.010000000000000009,2171.8237177996343,11.833260763036328,,8.0
E1b,near_equal,near010,0.1,0.5,2,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-20.50856,7.020965382744208e-05,0.00011701608971240346,0.0014400000000009071,0.046000000000000006,2164.6267364001687,34.620445122144794,,8.0
E1b,near_equal,near020,0.2,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.55,0.0,0.0,0.0,0.050000000000000044,1575.0482800001919,21.008046753509483,,7.4
E1b,near_equal,near020,0.2,0.5,1,3,5,1.0,1.0,0.6,0.6,1.0,0.6,-20.548080000000002,9.343065693429175e-05,0.00023357664233572935,0.0019199999999997886,0.07400000000000002,1575.9776607988897,30.7807196518497,,7.4
E1b,near_equal,near020,0.2,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.55,0.0,0.0,0.0,0.050000000000000044,2152.5179352000123,30.012803292699243,,7.6
E1b,near_equal,near020,0.2,0.5,2,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-20.54712,0.0001401459854014376,0.00023357664233572935,0.0028799999999996827,0.08600000000000001,2158.171780000339,31.981342420360093,,7.6
E1c,cpu_io_profiles,io01,,0.1,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.4559708,0.0,0.0,0.0,0.5613,630.8878273997834,8.744617735802688,,5.0
E1c,cpu_io_profiles,io01,,0.1,1,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.4559708,0.0,0.0,0.0,0.5613,626.9385314000829,4.6195150034344215,,5.0
E1c,cpu_io_profiles,io01,,0.1,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.4559708,0.0,0.0,0.0,0.5613,803.5860308002157,29.619651788377155,,7.4
E1c,cpu_io_profiles,io01,,0.1,2,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.4559708,0.0,0.0,0.0,0.5613,803.6207264005498,29.374033044031048,,7.4
E1c,cpu_io_profiles,io05,,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.26975,0.0,0.0,0.0,0.6465,631.5662857996358,8.96901074634574,,4.4
E1c,cpu_io_profiles,io05,,0.5,1,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.26975,0.0,0.0,0.0,0.6465,623.9430764002464,0.8012135383952548,,4.4
E1c,cpu_io_profiles,io05,,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.26975,0.0,0.0,0.0,0.6465,813.4070746000361,25.095054984207664,,6.6
E1c,cpu_io_profiles,io05,,0.5,2,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.26975,0.0,0.0,0.0,0.6465,793.1766789999529,5.537513017070159,,6.6
E1c,cpu_io_profiles,io09,,0.9,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.0929628,0.0,0.0,0.0,0.7317000000000001,628.588380400106,8.759434778805208,,2.8
E1c,cpu_io_profiles,io09,,0.9,1,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.0929628,0.0,0.0,0.0,0.7317000000000001,628.4576082005515,7.58443518295803,,2.8
E1c,cpu_io_profiles,io09,,0.9,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.0929628,0.0,0.0,0.0,0.7317000000000001,791.9238651997148,2.8954447117654882,,4.6
E1c,cpu_io_profiles,io09,,0.9,2,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.0929628,0.0,0.0,0.0,0.7317000000000001,807.1610031998716,28.59605706241888,,4.6
